seq_id,study_label,arm_id,outcome_id,llm_mean,llm_n,human_mean,human_n,comparable,note,human_norm,llm_norm
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_cash_agency_pays,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_cash_agency_pays,degree_of_moral_concern_associated_with_alternativ,9.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_cash_recipient_pays,degree_of_favor_for_alternative_regulatory_regimes,0.96,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_cash_recipient_pays,degree_of_moral_concern_associated_with_alternativ,7.68,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_noncash_agency_pays,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_noncash_agency_pays,degree_of_moral_concern_associated_with_alternativ,8.24,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_noncash_recipient_pays,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,100k_noncash_recipient_pays,degree_of_moral_concern_associated_with_alternativ,5.86,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_cash_agency_pays,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_cash_agency_pays,degree_of_moral_concern_associated_with_alternativ,8.52,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_cash_recipient_pays,degree_of_favor_for_alternative_regulatory_regimes,0.98,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_cash_recipient_pays,degree_of_moral_concern_associated_with_alternativ,6.6,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_noncash_agency_pays,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_noncash_agency_pays,degree_of_moral_concern_associated_with_alternativ,8.04,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_noncash_recipient_pays,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,30k_noncash_recipient_pays,degree_of_moral_concern_associated_with_alternativ,5.54,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,all_paid_donor_systems,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,all_paid_donor_systems,degree_of_moral_concern_associated_with_alternativ,6.86,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,always_in_favor,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,always_in_favor,degree_of_moral_concern_associated_with_alternativ,8.32,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,always_opposed,degree_of_favor_for_alternative_regulatory_regimes,0.1,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,always_opposed,degree_of_moral_concern_associated_with_alternativ,-3.78,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,current_system,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,current_system,degree_of_moral_concern_associated_with_alternativ,3.26,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,favor_to_opposed,degree_of_favor_for_alternative_regulatory_regimes,0.7,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,favor_to_opposed,degree_of_moral_concern_associated_with_alternativ,-0.82,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,opposed_to_favor,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,opposed_to_favor,degree_of_moral_concern_associated_with_alternativ,4.16,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,other,degree_of_favor_for_alternative_regulatory_regimes,0.58,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,other,degree_of_moral_concern_associated_with_alternativ,-0.48,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,systems_with_compensation_from_a_public_agency,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,0.77,,True,"fuzzy_outcome_match:support_for_alternative_organ_procurement_systems(sim=degree_of_favor_for_alternative_regulatory_regimes,score=0.48)",,
19,Morality-Efficiency Tradeoffs: An Experimental Study,systems_with_compensation_from_a_public_agency,degree_of_moral_concern_associated_with_alternativ,7.8,50,,,False,outcome not found in GT extraction,,
19,Morality-Efficiency Tradeoffs: An Experimental Study,systems_with_payments_from_recipients,degree_of_favor_for_alternative_regulatory_regimes,1.0,50,0.63,,True,"fuzzy_outcome_match:support_for_alternative_organ_procurement_systems(sim=degree_of_favor_for_alternative_regulatory_regimes,score=0.48)",,
19,Morality-Efficiency Tradeoffs: An Experimental Study,systems_with_payments_from_recipients,degree_of_moral_concern_associated_with_alternativ,5.3,50,,,False,outcome not found in GT extraction,,
103,Beliefs about the Labor Market Impact of Immigration,control,actual_signing_of_the_petitions,0.02,50,0.045,3130,True,,-0.0478,-1.2602
103,Beliefs about the Labor Market Impact of Immigration,control,attitudes_towards_high_skilled_immigrants,3.98,50,0,3130,True,,-0.9529,0.748
103,Beliefs about the Labor Market Impact of Immigration,control,attitudes_towards_low_skilled_immigrants,3.96,50,0,3130,True,,-0.9529,0.7378
103,Beliefs about the Labor Market Impact of Immigration,control,intention_to_sign_the_petitions,0.66,50,0,3130,True,,-0.9529,-0.9356
103,Beliefs about the Labor Market Impact of Immigration,treatment,actual_signing_of_the_petitions,0.72,50,0.041,3130,True,,-0.1282,-0.9052
103,Beliefs about the Labor Market Impact of Immigration,treatment,attitudes_towards_high_skilled_immigrants,4.94,50,0.04,3130,True,,-0.1483,1.2348
103,Beliefs about the Labor Market Impact of Immigration,treatment,attitudes_towards_low_skilled_immigrants,4.86,50,0.112,3130,True,,1.2998,1.1942
103,Beliefs about the Labor Market Impact of Immigration,treatment,intention_to_sign_the_petitions,0.9,50,0.141,3130,True,,1.8831,-0.8139
118,Sharing Responsibility for the Good,bil,belief_about_partner_s_wtp,1.4224,50,0.78,,True,,-1.2147,-0.5462
118,Sharing Responsibility for the Good,bil,wtp_for_measles_vaccination,1.2154,50,0.78,,True,,-1.2147,-0.921
118,Sharing Responsibility for the Good,ind_active,belief_about_partner_s_wtp,2.5,50,0.98,,True,,-0.0199,1.405
118,Sharing Responsibility for the Good,ind_active,wtp_for_measles_vaccination,2.5,50,0.98,,True,,-0.0199,1.405
118,Sharing Responsibility for the Good,ind_passive,belief_about_partner_s_wtp,1.3778,50,1.19,119,True,,1.2346,-0.627
118,Sharing Responsibility for the Good,ind_passive,wtp_for_measles_vaccination,1.3288,50,1.19,119,True,,1.2346,-0.7157
125,An Experimental Approach to Relative Income and Happiness,hh_pts,subjective_well_being_mood_short_form_item_1,4.66,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts,subjective_well_being_mood_short_form_item_2,4.62,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts,subjective_well_being_mood_short_form_item_3,4.6,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts,subjective_well_being_mood_short_form_item_4,4.6,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts_1,subjective_well_being_mood_short_form_item_1,4.02,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts_1,subjective_well_being_mood_short_form_item_2,4.02,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts_1,subjective_well_being_mood_short_form_item_3,4.06,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hh_pts_1,subjective_well_being_mood_short_form_item_4,4.0,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts,subjective_well_being_mood_short_form_item_1,4.02,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts,subjective_well_being_mood_short_form_item_2,4.02,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts,subjective_well_being_mood_short_form_item_3,4.02,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts,subjective_well_being_mood_short_form_item_4,4.04,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts_1,subjective_well_being_mood_short_form_item_1,3.92,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts_1,subjective_well_being_mood_short_form_item_2,3.88,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts_1,subjective_well_being_mood_short_form_item_3,3.96,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,hl_pts_1,subjective_well_being_mood_short_form_item_4,3.92,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,lh_pts,subjective_well_being_mood_short_form_item_1,2.1,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,lh_pts,subjective_well_being_mood_short_form_item_2,2.34,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,lh_pts,subjective_well_being_mood_short_form_item_3,2.38,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,lh_pts,subjective_well_being_mood_short_form_item_4,2.2,50,,,False,outcome not found in GT extraction,,
125,An Experimental Approach to Relative Income and Happiness,lh_pts_1,subjective_well_being_mood_short_form_item_1,2.44,50,,,False,outcome not found in GT extraction,,
